"If yes, please specify your salary range per annum(in Rupee)?",,What is your monthly expense on Schooling/Childcare?,What is your monthly expenditure on House Rent?,What is your average monthly expense on Petrol/Diesel?,Please specify your monthly Maintenance Costs.,How much do you spend on Public Transport per month?,What is your monthly expenditure on Groceries?,How much do you spend on Medical Expenses per month?,What is your monthly budget for Leisure/Entertainment activities?,"If yes, how many insurance policies do you currently have?",Specify your average monthly Personal Expenses.,"Specify your monthly Bills (Electricity, gas, etc.).",How much do you save monthly?
"10,00,000 - 15,00,000",What is your monthly expense on Schooling/Childcare?,1.0,-0.18849360690482211,0.0006687976367800341,-0.18487354355168323,0.13703936804964642,-0.34002247753690545,0.1309624328652421,-0.028995770584949624,0.20460927641738602,0.1688476203686408,0.02400432888979726,-0.037163874153197544
"10,00,000 - 15,00,000",What is your monthly expenditure on House Rent?,-0.18849360690482211,1.0,-0.011569309572624333,-0.0136783580858267,0.383170550676947,0.43896557713583617,-0.029863557620626636,0.2772783912444632,0.2508934727216548,0.45283443995228295,0.03946594241198331,0.5599455985719538
"10,00,000 - 15,00,000",What is your average monthly expense on Petrol/Diesel?,0.0006687976367800341,-0.011569309572624333,1.0,0.1362318081589693,0.28848599337773007,0.08311254517803798,0.06772655006527903,0.17050586775341967,-0.11046770678108077,-0.14898925848252248,0.15331825292967136,0.15047856304569876
"10,00,000 - 15,00,000",Please specify your monthly Maintenance Costs.,-0.18487354355168323,-0.0136783580858267,0.1362318081589693,1.0,0.07583544420191654,-0.008113929467043831,0.23297532111012753,0.09129370954377916,-0.03760205466455795,-0.23401885379376752,-0.10950927370661227,0.03610458664309439
"10,00,000 - 15,00,000",How much do you spend on Public Transport per month?,0.13703936804964642,0.383170550676947,0.28848599337773007,0.07583544420191654,1.0,0.24506505369244627,-0.013482992557371395,0.08083630053977693,0.3727530192550819,0.017152101074109017,0.14129658092569772,0.21347140537110557
"10,00,000 - 15,00,000",What is your monthly expenditure on Groceries?,-0.34002247753690545,0.43896557713583617,0.08311254517803798,-0.008113929467043831,0.24506505369244627,1.0,0.16532290974944436,0.18982617928300233,0.06496733891743404,0.1259057138023259,0.4168082592509313,0.4962581179702202
"10,00,000 - 15,00,000",How much do you spend on Medical Expenses per month?,0.1309624328652421,-0.029863557620626636,0.06772655006527903,0.23297532111012753,-0.013482992557371395,0.16532290974944436,1.0,0.22744698278409897,0.05791233894868822,-0.0944046951979618,0.2616530139005718,-0.056927240046776593
"10,00,000 - 15,00,000",What is your monthly budget for Leisure/Entertainment activities?,-0.028995770584949624,0.2772783912444632,0.17050586775341967,0.09129370954377916,0.08083630053977693,0.18982617928300233,0.22744698278409897,1.0,0.17970240556697786,0.2532496067664843,0.12167381877168715,0.22934153052503398
"10,00,000 - 15,00,000","If yes, how many insurance policies do you currently have?",0.20460927641738602,0.2508934727216548,-0.11046770678108077,-0.03760205466455795,0.3727530192550819,0.06496733891743404,0.05791233894868822,0.17970240556697786,1.0,0.29922053516462965,0.2623047413794745,0.039513642809604066
"10,00,000 - 15,00,000",Specify your average monthly Personal Expenses.,0.1688476203686408,0.45283443995228295,-0.14898925848252248,-0.23401885379376752,0.017152101074109017,0.1259057138023259,-0.0944046951979618,0.2532496067664843,0.29922053516462965,1.0,0.05158314611891344,0.2954988126371783
"10,00,000 - 15,00,000","Specify your monthly Bills (Electricity, gas, etc.).",0.02400432888979726,0.03946594241198331,0.15331825292967136,-0.10950927370661227,0.14129658092569772,0.4168082592509313,0.2616530139005718,0.12167381877168715,0.2623047413794745,0.05158314611891344,1.0,0.03094747835430115
"10,00,000 - 15,00,000",How much do you save monthly?,-0.037163874153197544,0.5599455985719538,0.15047856304569876,0.03610458664309439,0.21347140537110557,0.4962581179702202,-0.056927240046776593,0.22934153052503398,0.039513642809604066,0.2954988126371783,0.03094747835430115,1.0
"3,00,000 - 6,00,000",What is your monthly expense on Schooling/Childcare?,,,,,,,,,,,,
